代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,14442820.000000000000
真實報酬,4442820.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,17968.894777795002
風險,415114.784954566510
起點值,0.043286568990
找到最佳解世代,1344
找到最佳解實驗#,2
找到最佳解次數,43

投資組合檔數,4
2308(12)[1],2603(28)[2],2912(40)[4],8046(47)[19],
Stock#,2308(12)[1],2603(28)[2],2912(40)[4],8046(47)[19],
張數,37,184,41,27,
FS( 182 ),3377269.999999999500,3543279.999999999500,3987070.000000000500,2704390.000000000000,13612010.000000000000
FS( 183 ),3220389.999999999500,3351920.000000000000,3869400.000000000900,2535640.000000000000,12977350.000000000000
FS( 184 ),3234819.999999999500,3359279.999999999500,3734510.000000000500,2389570.000000000000,12718180.000000000000
FS( 185 ),3391329.999999999500,3381360.000000000000,3684080.000000000000,2445730.000000000000,12902500.000000000000
FS( 186 ),3362839.999999999500,3351920.000000000000,3818970.000000000500,2310730.000000000000,12844460.000000000000
FS( 187 ),3491229.999999999500,3267279.999999999500,4003880.000000000900,2344480.000000000000,13106870.000000000000
FS( 188 ),3491229.999999999500,3451279.999999999500,3903020.000000000000,2445730.000000000000,13291260.000000000000
FS( 189 ),3519719.999999999100,3473360.000000000000,3835780.000000000500,2389570.000000000000,13218430.000000000000
FS( 190 ),3505290.000000000000,3443920.000000000000,3953450.000000000500,2434390.000000000000,13337050.000000000000
FS( 191 ),3476799.999999999500,3388720.000000000000,4020690.000000000900,2468140.000000000000,13354350.000000000000
FS( 192 ),3476799.999999999500,3366640.000000000000,4037500.000000000000,2479480.000000000000,13360420.000000000000
FS( 193 ),3548209.999999999500,3305920.000000000000,3953450.000000000500,2490550.000000000000,13298130.000000000000
FS( 194 ),3491229.999999999500,3160560.000000000500,3970260.000000000500,2445730.000000000000,13067780.000000000000
FS( 195 ),3505290.000000000000,3213920.000000000000,3987070.000000000500,2490550.000000000000,13196830.000000000000
FS( 196 ),3590759.999999999100,3335360.000000000000,4222820.000000000000,2591800.000000000000,13740740.000000000000
FS( 197 ),3562269.999999999500,3305920.000000000000,4155580.000000000500,2558050.000000000000,13581820.000000000000
FS( 198 ),3619250.000000000000,3351920.000000000000,4206010.000000000000,2524300.000000000000,13701480.000000000000
FS( 199 ),3619250.000000000000,3359279.999999999500,4138770.000000000000,2490550.000000000000,13607850.000000000000
FS( 200 ),3619250.000000000000,3480720.000000000000,4256440.000000000000,2501890.000000000000,13858300.000000000000
FS( 201 ),3662169.999999999500,3458640.000000000000,4290060.000000000000,2513230.000000000000,13924100.000000000000
FS( 202 ),3690659.999999999100,3405279.999999999500,4357300.000000000000,2468140.000000000000,13921379.999999998000
FS( 203 ),3733209.999999999500,3351920.000000000000,4660290.000000000000,2479480.000000000000,14224900.000000000000
