代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,14181870.000000000000
真實報酬,4181870.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,19080.356506380045
風險,332614.410139553190
起點值,0.057364792158
找到最佳解世代,1785
找到最佳解實驗#,1
找到最佳解次數,22

投資組合檔數,5
1303(4)[3],2353(19)[1],3045(41)[5],4904(44)[23],9999(49)[48],
Stock#,1303(4)[3],2353(19)[1],3045(41)[5],4904(44)[23],9999(49)[48],
張數,74,47,63,93,-1,
FS( 178 ),2993080.000000000000,3315060.000000000000,2679140.000000000000,2327360.000000000000,2000000.000000000000,13314640.000000000000
FS( 179 ),2966440.000000000000,3311299.999999999500,2660870.000000000000,2327360.000000000000,2000000.000000000000,13265970.000000000000
FS( 180 ),3004180.000000000000,3361590.000000000000,2679140.000000000000,2332940.000000000000,2000000.000000000000,13377850.000000000000
FS( 181 ),3030819.999999999100,3404360.000000000000,2701190.000000000000,2336660.000000000000,2000000.000000000000,13473030.000000000000
FS( 182 ),3052279.999999999100,3384620.000000000000,2723240.000000000000,2336660.000000000000,2000000.000000000000,13496800.000000000000
FS( 183 ),3004180.000000000000,3292030.000000000000,2705600.000000000000,2336660.000000000000,2000000.000000000000,13338470.000000000000
FS( 184 ),2971620.000000000000,3380860.000000000000,2727650.000000000000,2323640.000000000000,2000000.000000000000,13403770.000000000000
FS( 185 ),2993080.000000000000,3388850.000000000000,2740880.000000000000,2336660.000000000000,2000000.000000000000,13459470.000000000000
FS( 186 ),2993080.000000000000,3539719.999999999500,2732060.000000000000,2336660.000000000000,2000000.000000000000,13601520.000000000000
FS( 187 ),3030819.999999999100,3547240.000000000000,2727650.000000000000,2336660.000000000000,2000000.000000000000,13642370.000000000000
FS( 188 ),3047100.000000000000,3590010.000000000000,2723240.000000000000,2327360.000000000000,2000000.000000000000,13687710.000000000000
FS( 189 ),3105560.000000000000,3701870.000000000000,2749700.000000000000,2342240.000000000000,2000000.000000000000,13899370.000000000000
FS( 190 ),3084100.000000000000,3690590.000000000000,2767340.000000000000,2358050.000000000000,2000000.000000000000,13900080.000000000000
FS( 191 ),3116660.000000000000,3659570.000000000000,2762930.000000000900,2363630.000000000000,2000000.000000000000,13902790.000000000000
FS( 192 ),3110740.000000000000,3667090.000000000000,2767340.000000000000,2345960.000000000000,2000000.000000000000,13891130.000000000000
FS( 193 ),3116660.000000000000,3721140.000000000000,2789390.000000000000,2345960.000000000000,2000000.000000000000,13973150.000000000000
