代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,13353851.322749998000
真實報酬,3353851.322749998400

夏普值報酬,0.326685132275
夏普值風險,0.075144796512
夏普值,4.347408569062

預期報酬,12521.176600303364
風險,142903.070057433330
起點值,0.087620067191
找到最佳解世代,4104
找到最佳解實驗#,4
找到最佳解次數,5

投資組合檔數,12
1301(3),1303(4),1326(5),2227(11),2317(16),2357(20),2408(23),2474(27),2801(28),2882(31),2885(34),2892(39),
Stock#,1301(3),1303(4),1326(5),2227(11),2317(16),2357(20),2408(23),2474(27),2801(28),2882(31),2885(34),2892(39),
張數,11,15,11,4,12,3,23,3,57,24,85,58,
FS( 72 ),877790.049999999930,896337.875000000000,921431.257499999950,883961.077000000050,945329.179999999930,901420.278499999780,903727.237000000080,872560.295000000040,868835.578250000140,941148.338000000110,918196.064999999940,890327.468500000080,10821068.699749999000
FS( 73 ),883046.685999999750,907538.093750000000,934791.874000000070,885792.935000000060,947599.090999999900,901420.278499999780,904872.148250000090,881251.664750000000,871672.966999999950,953573.114000000290,930043.407499999860,893214.636000000060,10894820.895750001000
FS( 74 ),900678.319249999830,911719.508749999920,965784.123749999910,885792.935000000060,951063.691999999920,901420.278499999780,917008.207500000020,888479.539250000150,868835.578250000140,955962.494000000060,930043.407499999860,895524.370000000110,10972316.453749999000
FS( 75 ),929918.356999999840,927250.478749999890,976078.369249999990,883961.077000000050,963727.405999999840,907035.321500000080,927083.426500000060,891376.662500000090,871672.966999999950,952617.362000000310,963046.718749999880,895524.370000000110,11089296.516249999000
FS( 76 ),926742.472749999960,921575.701250000040,970931.246500000010,869266.390000000130,972926.518999999740,900016.517750000120,924793.603999999930,889943.034500000070,871672.966999999950,949033.292000000130,963046.718749999880,893214.636000000060,11053167.099500000000
FS( 77 ),920500.217499999800,920231.675000000050,970931.246500000010,869266.390000000130,971731.828999999910,902824.039249999910,938303.556750000110,878354.541500000050,865998.189499999980,947838.602000000190,963046.718749999880,893214.636000000060,11042245.641750002000
FS( 78 ),929918.356999999840,925906.452499999900,981225.491999999970,876593.821999999930,989054.834000000030,901420.278499999780,929373.249000000190,892840.157750000010,873942.878000000030,951422.672000000140,967277.912499999740,900721.271499999920,11119701.376750000000
FS( 79 ),929918.356999999840,931431.893750000050,991519.737499999930,874761.963999999920,987860.143999999740,905631.560749999950,944944.042000000130,882685.292750000020,868835.578250000140,953573.114000000290,958815.524999999790,890327.468500000080,11120308.677500000000
FS( 80 ),928823.224499999890,931431.893750000050,978159.120999999810,872930.105999999910,985590.232999999890,904227.800000000050,937158.645499999980,878354.541500000050,865998.189499999980,957157.184000000120,958815.524999999790,887440.301000000090,11086090.764750000000
FS( 81 ),936160.612249999890,934269.282499999970,990534.118250000170,871098.247999999910,978661.030999999840,895805.235499999950,930518.160249999960,878354.541500000050,871672.966999999950,960502.316000000220,967277.912499999740,895524.370000000110,11110382.794750001000
