代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11143394.200000001117587
真實報酬,1143394.200000001117587

夏普值報酬,0.105639420000000
夏普值風險,0.053528739041538
夏普值,1.973508472112988

二次趨勢線,55.273962161251205 x^2 + -8053.081607234326839 x + 10000000.000000000000000
二次加權預期報酬,10629.517603268584935
風險,191818.100763238238869
二次加權趨勢值,0.055414570162952
一次趨勢線,2455.839565565449448 x + 10000000.000000000000000
一次預期報酬,2455.839565565449448
一次風險,441375.275820873328485
一次趨勢值,0.005564062375261
找到最佳解世代,2634
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
JNJ[12](1),MCD[15](2),UNH[23](7),WMT[28](11),
Stock#,JNJ[12](1),MCD[15](2),UNH[23](7),WMT[28](11),
張數,24990,25982,20857,33453,
FS( 175 ),2548980.399999999906868,3015223.060000000055879,2294767.120000000111759,2238063.010000000242144,10097033.589999999850988
FS( 176 ),2548230.699999999720603,3040165.780000000260770,2318544.100000000093132,2201599.240000000223517,10108539.820000000298023
FS( 177 ),2542233.100000000093132,3053936.240000000223517,2351498.159999999683350,2200930.180000000167638,10148597.679999999701977
FS( 178 ),2541483.399999999906868,3032890.820000000298023,2307281.320000000298023,2185207.270000000018626,10066862.810000000521541
FS( 179 ),2544482.199999999720603,3064069.220000000204891,2332309.719999999739230,2213976.850000000093132,10154837.990000000223517
FS( 180 ),2556977.199999999720603,3096546.720000000204891,2401763.530000000260770,2204610.010000000242144,10259897.460000000894070
FS( 181 ),2561475.399999999906868,3082516.439999999944121,2467463.080000000074506,2211635.140000000130385,10323090.060000000521541
FS( 182 ),2604958.000000000000000,3044322.899999999906868,2449734.629999999888241,2145063.670000000391155,10244079.200000001117587
FS( 183 ),2602958.799999999813735,3027694.419999999925494,2454531.740000000223517,2163128.290000000037253,10248313.250000000000000
FS( 184 ),2617702.899999999906868,3057313.899999999906868,2529408.370000000111759,2195577.699999999720603,10400002.869999999180436
FS( 185 ),2600959.600000000093132,3037307.760000000242144,2526905.530000000260770,2224012.750000000000000,10389185.640000000596046
FS( 186 ),2622950.799999999813735,3041464.879999999888241,2507091.379999999888241,2245422.670000000391155,10416929.730000000447035
FS( 187 ),2658436.599999999627471,3075501.300000000279397,2527948.379999999888241,2276199.430000000167638,10538085.710000000894070
FS( 188 ),2643442.600000000093132,3041464.879999999888241,2530659.790000000037253,2225016.340000000316650,10440583.610000001266599
FS( 189 ),2629198.299999999813735,3044842.540000000037253,2484148.679999999701977,2219329.330000000074506,10377518.849999999627471
FS( 190 ),2679428.199999999720603,3087972.659999999683350,2537751.169999999925494,2223343.689999999944121,10528495.719999998807907
FS( 191 ),2674930.000000000000000,3078359.320000000298023,2529408.370000000111759,2214980.439999999944121,10497678.130000000819564
FS( 192 ),2665183.899999999906868,3031851.540000000037253,2540879.719999999739230,2212638.729999999981374,10450553.889999998733401
FS( 193 ),2661435.399999999906868,3044582.720000000204891,2540462.580000000074506,2234048.649999999906868,10480529.349999999627471
FS( 194 ),2667433.000000000000000,3043803.260000000242144,2539628.300000000279397,2271181.479999999981374,10522046.040000000968575
