代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,12086699.999450000000
真實報酬,2086699.999450000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,18206.861467484527
風險,108649.283793481940
起點值,0.167574611003
找到最佳解世代,2394
找到最佳解實驗#,5
找到最佳解次數,7

投資組合檔數,9
1326(5)[28],2207(12)[10],2301(13)[8],2308(15)[14],2357(24)[19],2881(33)[2],2912(41)[4],3673(47)[5],9999(50)[35],
Stock#,1326(5)[28],2207(12)[10],2301(13)[8],2308(15)[14],2357(24)[19],2881(33)[2],2912(41)[4],3673(47)[5],9999(50)[35],
張數,19,6,37,12,4,41,8,2,-1,
FS( 93 ),1134671.000000000000,1328791.000000000000,1438191.000000000000,1403670.999999999800,1154311.000000000000,1416971.000000000200,1347671.000000000000,1347951.000000000000,1111111.000000000000,11683340.000000000000
FS( 94 ),1137711.000000000000,1320991.000000000200,1460391.000000000200,1438950.999999999500,1158631.000000000000,1410411.000000000000,1347671.000000000000,1306931.000000000000,1111111.000000000000,11692800.000000000000
FS( 95 ),1132961.000000000000,1341751.000000000000,1482591.000000000000,1469190.999999999800,1129831.000000000000,1420251.000000000200,1333751.000000000000,1329291.000000000000,1111111.000000000000,11750730.000000000000
FS( 96 ),1128401.000000000000,1349491.000000000200,1471491.000000000000,1464150.999999999800,1148551.000000000000,1406721.000000000200,1326791.000000000000,1344211.000000000000,1111111.000000000000,11750920.000000000000
FS( 97 ),1126691.000000000000,1367611.000000000000,1485181.000000000000,1464150.999999999800,1183111.000000000000,1415331.000000000000,1326791.000000000000,1364731.000000000000,1111111.000000000000,11844710.000000000000
FS( 98 ),1123651.000000000000,1365031.000000000000,1457431.000000000000,1524750.999999999800,1180231.000000000000,1413691.000000000000,1337191.000000000000,1372191.000000000000,1111111.000000000000,11885280.000000000000
FS( 99 ),1120421.000000000000,1349491.000000000200,1488141.000000000200,1509630.999999999500,1187431.000000000000,1421891.000000000000,1385911.000000000000,1338631.000000000000,1111111.000000000000,11912660.000000000000
FS( 100 ),1140941.000000000000,1349491.000000000200,1509971.000000000000,1504590.999999999800,1226351.000000000000,1373511.000000000200,1371991.000000000000,1347951.000000000000,1111111.000000000000,11935910.000000000000
FS( 101 ),1162791.000000000000,1359871.000000000000,1474081.000000000000,1489470.999999999800,1198951.000000000000,1356701.000000000000,1382391.000000000000,1364731.000000000000,1111111.000000000000,11900100.000000000000
FS( 102 ),1187871.000000000000,1422031.000000000000,1468531.000000000000,1539871.000000000000,1196071.000000000000,1371871.000000000000,1389351.000000000000,1366591.000000000000,1111111.000000000000,12053300.000000000000
FS( 103 ),1195661.000000000000,1437570.999999999800,1465941.000000000000,1519710.999999999800,1198951.000000000000,1376790.999999999800,1375431.000000000000,1347951.000000000000,1111111.000000000000,12029120.000000000000
FS( 104 ),1198891.000000000000,1489411.000000000000,1435230.999999999800,1499551.000000000000,1190311.000000000000,1390320.999999999800,1410231.000000000000,1340491.000000000000,1111111.000000000000,12065550.000000000000
FS( 105 ),1194141.000000000000,1517911.000000000000,1443741.000000000000,1509630.999999999500,1170151.000000000000,1380070.999999999800,1378951.000000000000,1308791.000000000000,1111111.000000000000,12014500.000000000000
FS( 106 ),1194141.000000000000,1554211.000000000000,1343841.000000000000,1499551.000000000000,1162951.000000000000,1384991.000000000200,1371991.000000000000,1297591.000000000000,1111111.000000000000,11920380.000000000000
FS( 107 ),1208201.000000000000,1582711.000000000000,1310541.000000000000,1509630.999999999500,1173031.000000000000,1415331.000000000000,1385911.000000000000,1347951.000000000000,1111111.000000000000,12044420.000000000000
