代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,14331331.976250000000
真實報酬,4331331.976250000300

夏普值報酬,0.424433197625
夏普值風險,0.098580460479
夏普值,4.305449533943

預期報酬,33344.898354072924
風險,168375.049322275910
起點值,0.198039427387
找到最佳解世代,2946
找到最佳解實驗#,3
找到最佳解次數,37

投資組合檔數,8
1216(2),1301(3),1326(5),1722(7),2412(24),2498(27),2892(38),3045(40),
Stock#,1216(2),1301(3),1326(5),1722(7),2412(24),2498(27),2892(38),3045(40),
張數,63,27,24,19,24,3,139,27,
FS( 97 ),1620955.922749999900,1744650.563750000000,1609010.551999999900,1580018.201000000100,1528326.986000000000,2161025.203250000300,1422606.446999999700,1383303.650749999800,13049897.526500002000
FS( 98 ),1609038.889999999900,1791691.482500000200,1649152.135999999900,1601393.196250000000,1532388.932000000000,2204332.715750000400,1415687.200750000100,1395668.692250000100,13199353.245500002000
FS( 99 ),1585832.036749999500,1768036.620500000200,1629798.157999999800,1594394.304000000000,1528326.986000000000,2187487.586750000200,1404616.406749999800,1391636.613500000000,13090128.712249998000
FS( 100 ),1593358.583749999800,1795454.756000000100,1631709.662000000200,1608581.247749999900,1520203.094000000000,2218788.464750000300,1444748.034999999700,1391636.613500000000,13204480.456749998000
FS( 101 ),1605275.616500000000,1793573.119249999800,1614267.188000000300,1587206.252499999900,1544574.770000000300,2276551.726249999800,1444748.034999999700,1428462.932749999900,13294659.640249999000
FS( 102 ),1605275.616500000000,1781745.688249999900,1614267.188000000300,1637333.453750000300,1540512.824000000300,2394467.629249999800,1466889.622999999700,1409915.370500000000,13450407.393250000000
FS( 103 ),1607157.253249999800,1783896.130249999900,1600169.845999999700,1587206.252499999900,1538362.382000000200,2363196.618499999900,1455818.828999999700,1391636.613500000000,13327443.924999997000
FS( 104 ),1609038.889999999900,1791691.482500000200,1607099.048000000200,1601393.196250000000,1528326.986000000000,2276551.726249999800,1448899.582749999800,1391636.613500000000,13254637.525249999000
FS( 105 ),1605275.616500000000,1795454.756000000100,1605426.481999999800,1594394.304000000000,1522114.598000000000,2319859.238749999600,1477960.416999999700,1387604.534750000100,13308089.946999997000
FS( 106 ),1605275.616500000000,1795454.756000000100,1601842.412000000200,1594394.304000000000,1501804.868000000000,2298205.482499999900,1455818.828999999700,1389486.171500000200,13242282.439500000000
FS( 107 ),1628482.469749999700,1811314.265750000300,1601842.412000000200,1651520.397500000200,1512079.202000000000,2319859.238749999600,1473808.869250000000,1397819.134250000100,13396725.989249999000
FS( 108 ),1649807.686250000000,1795454.756000000100,1619284.885999999900,1615769.299249999900,1520203.094000000000,2319859.238749999600,1480728.115499999600,1399700.770999999900,13400807.846749999000
FS( 109 ),1647926.049500000000,1858355.184500000200,1629798.157999999800,1673084.552000000100,1524265.040000000000,2355968.743999999900,1583132.959999999700,1401851.213000000200,13674381.900999999000
FS( 110 ),1661724.718999999800,1860236.821250000000,1638638.863999999800,1687460.655000000000,1526176.544000000000,2432996.381749999200,1655093.120999999800,1393518.250250000000,13855845.356249999000
FS( 111 ),1632245.743249999800,1856473.547749999900,1654169.834000000000,1665896.500499999800,1516141.148000000000,2411342.625499999200,1668931.613499999700,1387604.534750000100,13792805.547249999000
FS( 112 ),1657961.445499999900,1879859.604499999900,1668267.175999999700,1687460.655000000000,1509928.760000000000,2406504.131000000100,1767184.910249999700,1393518.250250000000,13970684.932500001000
FS( 113 ),1673014.539499999700,1885773.320000000100,1669939.742000000100,1680272.603500000200,1509928.760000000000,2370424.493000000200,1764417.211750000000,1387604.534750000100,13941375.204500001000
FS( 114 ),1706256.788749999800,1893568.672249999600,1669939.742000000100,1644332.345999999900,1513990.706000000000,2394467.629249999800,1742275.623750000000,1401851.213000000200,13966682.720999997000
FS( 115 ),1686813.209000000000,1883891.683249999800,1682125.580000000100,1601393.196250000000,1518052.652000000000,2382460.994750000100,1731204.829749999800,1408033.733749999900,13893975.878750000000
FS( 116 ),1667369.629249999800,1840614.037999999700,1673523.812000000200,1587206.252499999900,1509928.760000000000,2445032.883500000500,1713214.789499999500,1395668.692250000100,13832558.857000001000
FS( 117 ),1675523.388499999900,1852441.468999999800,1678780.448000000100,1572830.149500000100,1501804.868000000000,2452230.890750000300,1738124.075999999700,1383303.650749999800,13855038.940500000000
FS( 118 ),1683049.935499999900,1864268.900000000100,1694311.417999999600,1608581.247749999900,1489619.030000000300,2473914.514250000000,1724285.583499999900,1391636.613500000000,13929667.242500000000
FS( 119 ),1686813.209000000000,1899482.387749999800,1744966.274000000000,1615769.299249999900,1479583.634000000100,2459458.765250000200,1764417.211750000000,1385454.092750000100,14035944.873749999000
FS( 120 ),1667369.629249999800,1899482.387749999800,1741382.203999999900,1601393.196250000000,1497742.922000000000,2435385.761750000100,1745043.322249999500,1389486.171500000200,13977285.594749998000
FS( 121 ),1651689.322999999900,1925018.886499999800,1743293.707999999600,1630145.402249999800,1530238.490000000200,2384850.374750000000,1803164.990749999600,1399700.770999999900,14068101.946249999000
FS( 122 ),1644162.775999999800,1911309.818750000100,1718922.031999999900,1615769.299249999900,1520203.094000000000,2368005.245749999800,1800397.292249999700,1401851.213000000200,13980620.770999998000
FS( 123 ),1681168.298750000100,1901632.829750000300,1711753.892000000000,1608581.247749999900,1524265.040000000000,2399306.123749999800,1807316.538499999800,1399700.770999999900,14033724.741500000000
FS( 124 ),1679286.662000000000,1903514.466499999900,1711753.892000000000,1615769.299249999900,1528326.986000000000,2485951.015999999800,1796245.744500000000,1397819.134250000100,14118667.200500000000
FS( 125 ),1679286.662000000000,1913191.455499999700,1729196.366000000200,1615769.299249999900,1532388.932000000000,2485951.015999999800,1764417.211750000000,1399700.770999999900,14119901.713499999000
FS( 126 ),1673014.539499999700,1905396.103250000200,1732780.436000000000,1608581.247749999900,1536450.878000000000,2452230.890750000300,1764417.211750000000,1399700.770999999900,14072572.078000000000
FS( 127 ),1667369.629249999800,1905396.103250000200,1734453.001999999900,1622957.350750000000,1540512.824000000300,2452230.890750000300,1814235.784749999600,1403732.849750000100,14140888.434500001000
FS( 128 ),1675523.388499999900,1913191.455499999700,1743293.707999999600,1608581.247749999900,1536450.878000000000,2435385.761750000100,1807316.538499999800,1409915.370500000000,14129658.348499998000
FS( 129 ),1675523.388499999900,1911309.818750000100,1743293.707999999600,1587206.252499999900,1528326.986000000000,2404114.751000000200,1930479.121749999700,1413947.449249999800,14194201.475749997000
FS( 130 ),1677405.025249999900,1921255.612999999700,1751895.475999999800,1608581.247749999900,1522114.598000000000,2447422.263499999900,1919408.327749999700,1432495.011500000000,14280577.562749997000
FS( 131 ),1692458.119250000200,1929050.965250000100,1757152.112000000200,1601393.196250000000,1522114.598000000000,2452230.890750000300,1948469.161999999800,1428462.932749999900,14331331.976250000000
